id,name,reference,photos,address,latlng,scope,place_id,types,images
00449a87d0eff0029cfcd526de98089b4190aa9b,九龍港式燒臘餐廳,[],光復北路38號,"(25.049426, 121.55764699999997)",GOOGLE,ChIJ9X9Tg-qrQjQRT7oKprEP6UU,CoQBeQAAALKSr--SGelsVM634ggf5aZZLghKF3SoCv_vEhYUfo901fBGGfwqG88W0AicOo7lGkOvMiuTc38gUsU3Dq3DYZXyzaTz3Aagm5MvaseylTcJa2KtioxM819JwTGCe9Jee_IRwU2TRjyIfTP-cWuyBy0kuz_W12JB-_zPRW66Jl2OEhDBGk5zSWAONAHA26x317PTGhRMmYQC839WcxHr10m950E1pU7n1Q,"[""restaurant"",""food"",""establishment""]","['http://iphoto.ipeen.com.tw/photo/ipeen/140x140/def/4/5/2/258254/258254_1345130934_4805.jpg', 'http://iphoto.ipeen.com.tw/photo/comment/def/200x200/3/6/7/290763/290763_1345146584_7062.jpg', 'http://iphoto.ipeen.com.tw/photo/ipeen/200x200/vip/1/2/5/store_19521/sp19521_20121031033622353.jpg', 'http://iphoto.ipeen.com.tw/photo/ipeen/140x140/vip/5/7/4/store_6475/sp6475_20121030213155137.jpg', 'http://iphoto.ipeen.com.tw/photo/comment/def/200x200/9/2/6/164629/164629_1345101574_3530.jpg', 'http://iphoto.ipeen.com.tw/photo/ipeen/140x140/vip/6/1/4/store_15416/sp15416_20121031002442484.jpg', 'http://iphoto.ipeen.com.tw/photo/ipeen/140x140/vip/4/1/5/store_6514/sp6514_20121030203612716.jpg', 'http://iphoto.ipeen.com.tw/photo/ipeen/140x140/vip/6/8/4/store_914486/sp914486_20131119214257302.jpg', 'http://iphoto.ipeen.com.tw/photo/comment/def/200x200/7/8/8/310887/310887_1345152820_2337.jpg']"
00474574a003bddaccd08349f93f2a71abb59a22,玫瑰夫人餐廳,"[""https://lh4.googleusercontent.com/-3aZg1Jv-muU/USV_oukQ4TI/AAAAAAAAAGA/wC9dO_7Yt20/w1000-s0/%25E7%258E%25AB%25E7%2591%25B0%25E5%25A4%25AB%25E4%25BA%25BACOFFEETEASALON""]",南京東路三段77號,"(25.052097, 121.538682)",GOOGLE,ChIJR0ltv9-rQjQRIQq1ljnXpbU,CoQBdAAAAOdJCcXX3pJeANifwK1pNL7B5ylEjb34iSGYvV-zujRdwRQmWJleqXfIjgYaduelWCSIYlq-_KSMr8FUTeZuc0jL09nxFWOg5KFlXQ2z01NoayuNLDPZQDQTUe0BTsX36tNF4ha0ZFnwXVSxopK5dQILdi6L-gY744Ibtl5Eq6UkEhBUcX02dhZTiG5bL1Cwqo2tGhSbLc2puzUTIqQ-5CeuIXeVzrHuCw,"[""restaurant"",""food"",""establishment""]","['http://iphoto.ipeen.com.tw/photo/ipeen/140x140/vip/2/7/3/store_592372/sp592372_20131212174447872.jpg', 'http://iphoto.ipeen.com.tw/photo/comment/def/200x200/4/1/7/510714/510714_20130810142437_5589.jpg', 'http://iphoto.ipeen.com.tw/photo/comment/def/200x200/4/2/2/626224/626224_20140710182325_3780.jpg', 'http://iphoto.ipeen.com.tw/photo/comment/def/200x200/6/1/4/448416/448416_20130412172920_8506.jpg', 'http://iphoto.ipeen.com.tw/photo/comment/def/200x200/1/4/0/302041/302041_1345150025_3319.jpg', 'http://iphoto.ipeen.com.tw/photo/comment/def/200x200/6/3/3/368336/368336_20121031191515_693.jpg', 'http://iphoto.ipeen.com.tw/photo/comment/def/200x200/6/1/5/649516/649516_20140425195849_3842.jpg', 'http://iphoto.ipeen.com.tw/photo/comment/def/200x200/2/3/8/364832/364832_20121025091843_8011.jpg', 'http://iphoto.ipeen.com.tw/photo/ipeen/200x200/def/1/0/7/273701/273701_1345141757_9259.jpg']"
009a87ea97b979aa82ae7543f889cc4cc79d8a65,想巷咖啡PÜKY'S CAFĒ,[],敦化北路50巷21號,"(25.050558, 121.54764899999998)",GOOGLE,ChIJg2LjRd2rQjQRpeMN4b4CG88,CoQBewAAAMXA-jbwGaEBVfUOGFTwLnZULkDJPAo48mkVGPQVLFCGdtvCxtGztn5-VXZRITgWg7l4lOg_25L4gqpK0aQ-9N_Q2LseQsaVwnNs6-58FNd9KQtWnNbrNC-xdjdX2n_33wbzP4-W6SJS-pxuPv9O0xpx8drG2e_F_x3fp1Lp6rcAEhDPSfHBYnu988kp1XEXiK-3GhRgYWlE_hvyD_tiIi_FwxfzLCgB9w,"[""meal_takeaway"",""restaurant"",""food"",""establishment""]","['http://iphoto.ipeen.com.tw/photo/ipeen/140x140/vip/6/7/9/store_40976/sp40976_20121030200300519.jpg', 'http://iphoto.ipeen.com.tw/photo/ipeen/140x140/vip/9/2/6/store_2629/sp2629_20121031002543764.jpg', 'http://iphoto.ipeen.com.tw/photo/ipeen/140x140/vip/8/5/4/store_2458/sp2458_20121031002408711.jpg', 'http://iphoto.ipeen.com.tw/photo/ipeen/140x140/vip/8/0/6/store_2608/sp2608_20121030234200171.jpg', 'http://iphoto.ipeen.com.tw/photo/ipeen/140x140/live/4/8/486d78626b58b1e752319d5452717970.jpg', 'http://iphoto.ipeen.com.tw/photo/ipeen/140x140/vip/6/7/9/store_40976/sp40976_20121030200300519.jpg', 'http://iphoto.ipeen.com.tw/photo/ipeen/140x140/vip/9/2/6/store_2629/sp2629_20121031002543764.jpg', 'http://iphoto.ipeen.com.tw/photo/ipeen/140x140/vip/8/5/4/store_2458/sp2458_20121031002408711.jpg', 'http://iphoto.ipeen.com.tw/photo/ipeen/140x140/vip/8/0/6/store_2608/sp2608_20121030234200171.jpg']"
03033bac8a77e3cd96a4e3a1be3dbb739704645e,醍咖啡美式早午餐下午茶,CpQBggAAAHkvwGe74ChAsSpa9dn8Rg-v5MwMOjbjR05X7kxmrTut-5X-Lamzqof6Z6dEXWOlPYn_R2JqFlYKVqNfPvDibj0R03rSmI1cnv5xvvO9vzmvETN-Ox2iDM99erzc2FdmyH641LV40_xy8SeJE5i71RIwmQyt-uieBtA4yrAMdSmnj0Q70jpn_I1HmCAJsnnd1hIQVHJHal62RpPrVd13TqTUMBoUSEUTWil4smVLf5OvvLihPy9KZEU,[],新東街1巷2號,"(25.057278, 121.56588899999997)",GOOGLE,ChIJeaqJ-ZGrQjQRzlfa-YXo6h8,"[""cafe"",""food"",""establishment""]","['http://iphoto.ipeen.com.tw/photo/comment/def/200x200/1/4/2/40241/40241_1345028912_6304.jpg', 'http://iphoto.ipeen.com.tw/photo/ipeen/140x140/def/3/6/6/5663/5663_1345011737_3327.jpg', 'http://iphoto.ipeen.com.tw/photo/comment/def/200x200/7/4/7/147747/147747_1345091347_1601.jpg', 'http://iphoto.ipeen.com.tw/photo/ipeen/200x200/def/8/0/0/436008/436008_20130320200259_8877.jpg', 'http://iphoto.ipeen.com.tw/photo/comment/def/200x200/9/0/1/319109/319109_1345155771_1778.jpg', 'http://iphoto.ipeen.com.tw/photo/ipeen/140x140/vip/0/1/2/store_52210/sp52210_20121031003606140.jpg', 'http://iphoto.ipeen.com.tw/photo/ipeen/140x140/def/2/4/9/111942/111942_1345070421_471.jpg', 'http://iphoto.ipeen.com.tw/photo/ipeen/200x200/def/2/6/1/459162/459162_20140308110624_9976.jpg', 'http://iphoto.ipeen.com.tw/photo/ipeen/200x200/def/1/6/6/186661/186661_1345116478_7150.jpg']"
035b50943b889cf087914c0e0d8d57e72d8805f9,樂樂咖啡,"[""https://lh5.googleusercontent.com/-uXWLsVQaCuw/UlgPItj26_I/AAAAAAAAQOI/HRYeEFzYOsQ/w1000-s0/photo.jpg""]",大安路一段19巷16號,"(25.04439, 121.54697299999998)",GOOGLE,ChIJVbAGGNurQjQRw77o9rC15iE,CnRuAAAAjW_xyCLW05QyQIh8H8osnL5XF51qEz42LkYuK3Q_FYpyT_YFqfmebeCVN7Plj-rwulAjDkWfR1gZXOxTRdcLcyVXBg0OcSGWLOFj6JyNaYa0R9N2DmOH3inuUZy0wHrHh3KelRr63FKVY2p1t6FXNhIQi7GVdAhuOllyhL1jkv2foBoUH4VhrhPFoMq9fypXRxUecBKCTCg,"[""cafe"",""food"",""establishment""]","['http://iphoto.ipeen.com.tw/photo/comment/def/200x200/4/1/3/452314/452314_20130418213808_3934.jpg', 'http://iphoto.ipeen.com.tw/photo/comment/def/200x200/0/0/9/691900/691900_20140707052415_7987.jpg', 'http://iphoto.ipeen.com.tw/photo/ipeen/200x200/def/0/8/1/680180/680180_20140618174615_2013.jpg', 'http://iphoto.ipeen.com.tw/photo/usr/404890/836182_120.jpg', 'http://iphoto.ipeen.com.tw/photo/usr/741422/753293_120.jpg', 'http://iphoto.ipeen.com.tw/photo/ipeen/200x200/def/8/5/2/635258/635258_20140329081222_625.jpg', 'http://iphoto.ipeen.com.tw/photo/comment/def/200x200/0/7/4/680470/680470_20140619002829_5500.jpg', 'http://iphoto.ipeen.com.tw/photo/ipeen/200x200/def/2/1/7/448712/448712_20130413033420_8519.jpg', 'http://iphoto.ipeen.com.tw/photo/usr/317557/692435_120.jpg']"
04a5a4a10b29a783d86f1be2924e781fd54e51b2,吉將壽司,CnRtAAAAsVzkOrYWCUQ8XQnsKSurPB5dfW57EsSVBjEKx4YMrJgPOFzeNLlZJMpVC-R7knHKzZsZhnCmWRqr9CKYFGy-X8zS6GGVJW-ilbWaD7Nmu6_jy_JEPjiY40RwGTT-3vlCepIZjbEp1jobV_DROpv6yxIQQbL_9KN9hJDiPTOluTPcjBoUaaLDd3zzul319VtMI3yCD2Fam4Y,[],敦化北路244巷39號,"(25.061039, 121.547507)",GOOGLE,ChIJxaWoQ-WrQjQRlxDxsByYng0,"[""restaurant"",""food"",""establishment""]","['http://iphoto.ipeen.com.tw/photo/comment/201306/cgm849e96b5beec2f3e2eb197c4a29c6524129.jpg', 'http://iphoto.ipeen.com.tw/photo/comment/200907/cgma467ff5af51aea227d8d010df54d3de3528.jpg', 'http://iphoto.ipeen.com.tw/photo/comment/def/200x200/8/5/9/601958/601958_20140120073125_5067.jpg', 'http://iphoto.ipeen.com.tw/photo/comment/200911/cgm6d428ae0b751c7409c167800d48f1512173.jpg', 'http://iphoto.ipeen.com.tw/photo/ipeen/200x200/def/7/6/0/375067/375067_20121112221750_8555.jpg', 'http://iphoto.ipeen.com.tw/photo/comment/200903/cm200903069e6ed47bf1b8ab1c969296dac544727a252.jpg', 'http://iphoto.ipeen.com.tw/photo/comment/def/200x200/4/2/3/14324/14324_1345014739_1658.jpg', 'http://iphoto.ipeen.com.tw/photo/ipeen/200x200/vip/8/9/7/store_379798/sp379798_20121014100100481.jpg', 'http://iphoto.ipeen.com.tw/photo/comment/def/200x200/9/8/6/103689/103689_1345065883_5668.jpg']"
0587e518f750da931b8b83a38a1f0d5a782908ab,皇星魚翅餐廳,[],光復北路32號2樓,"(25.04932, 121.55773999999997)",GOOGLE,ChIJSVzYguqrQjQRwNXUh2zx5BQ,CoQBcwAAAK77OUYHoZxuhJ8d-n_5EMSpdrGXmW7Pm8kBIXM5yl9o9BmyTMcCF7yFrK_kuhC9DeiCdqDK8xpiWFTLm4OsuQl9BeEv8XWjgYnJaOYdVj2IFbydjNu6q2xyt_3Idba-GUEmXJpOD41p7Bd2TzFmFCi2nmJcHTSLYznozTXpbxw6EhDc6hbMPAxiOH10OGra03j8GhQaJj7PbL_IYiEWmh2Hu2DUEp58PQ,"[""restaurant"",""food"",""establishment""]","['http://iphoto.ipeen.com.tw/photo/comment/def/200x200/5/8/5/64585/64585_1345042538_8062.jpg', 'http://iphoto.ipeen.com.tw/photo/comment/def/200x200/8/6/6/145668/145668_1345090078_6263.jpg', 'http://iphoto.ipeen.com.tw/photo/comment/def/200x200/4/3/5/479534/479534_20130605191721_2853.jpg', 'http://iphoto.ipeen.com.tw/photo/comment/def/200x200/6/4/8/533846/533846_20130921113333_3368.jpg', 'http://iphoto.ipeen.com.tw/photo/ipeen/200x200/def/4/2/7/401724/401724_20130103221608_7639.jpg', 'http://iphoto.ipeen.com.tw/photo/comment/def/200x200/8/7/5/578578/578578_20131209101851_1256.jpg', 'http://iphoto.ipeen.com.tw/photo/comment/def/200x200/4/2/8/541824/541824_20131016011219_9353.jpg', 'http://iphoto.ipeen.com.tw/photo/comment/def/200x200/8/7/1/675178/675178_20140610220057_9115.jpg', 'http://iphoto.ipeen.com.tw/photo/comment/def/200x200/9/4/8/298849/298849_20131011154643_8699.jpg']"
0595552ecc597e815eba506aa2bf070242485b1b,Shizuku壽司割烹,[],台北市中山區南京東路三段303巷7弄5號,"(25.052769, 121.54643399999998)",GOOGLE,ChIJCdPWkOerQjQRJjqBP2kOe3E,CoQBdQAAAC4Yp-IfPIes56VBLIcRO6u9jKWkXlLYV_enQZEmzGGvgc7VnjXM2jzAI51Q2a18SBO_Sie1QoTNtCzDYi7CJNbLVJ0AL-kwmD-QGx75WCFAnBhwqM3TkK3nl9c2Izw38TJ4qUhd5zQBJhPHn2FBfW3dkTNU9jaAWH3p5Xn5XjHYEhBYfvVk-l7GvUWs30k7WmePGhQQ1Yd8iCqJW7oWCzXm1Da-pBzf1Q,"[""restaurant"",""food"",""establishment""]","['http://iphoto.ipeen.com.tw/photo/ipeen/140x140/vip/2/7/8/store_8872/sp8872_20121030214322706.jpg', 'http://iphoto.ipeen.com.tw/photo/ipeen/140x140/vip/2/6/8/store_8862/sp8862_20121030181851911.jpg', 'http://iphoto.ipeen.com.tw/photo/ipeen/200x200/def/6/8/5/139586/139586_1345086325_5546.jpg', 'http://iphoto.ipeen.com.tw/photo/comment/def/200x200/9/6/7/330769/330769_1345159951_3908.jpg', 'http://iphoto.ipeen.com.tw/photo/ipeen/200x200/def/0/1/4/193410/193410_1345120873_5912.jpg', 'http://iphoto.ipeen.com.tw/photo/ipeen/200x200/def/1/1/1/388111/388111_20121206104417_8552.jpg', 'http://iphoto.ipeen.com.tw/photo/ipeen/200x200/vip/8/5/2/store_9258/sp9258_20121030210319430.jpg', 'http://iphoto.ipeen.com.tw/photo/ipeen/140x140/vip/3/3/4/store_6433/sp6433_20121030194611848.jpg', 'http://iphoto.ipeen.com.tw/photo/comment/def/200x200/7/4/6/257647/257647_1345130462_941.jpg']"
061b991e25c07f7ff8804c9089d5e416fb118d26,擴邦麵包堤頂餐廳,CoQBegAAABYw9_TVg_NgM1XDlWoU2ctKhkhSOlUImVfzzpEOXPXFMrT4lCyP-amG0fiiYyuRea27VZ-m3KOPRqKZLxsmmevFMAd_ORpGsN7VjTuU2JFs-nVofrXtEPTZ41zq4scMyxqLmWTzdNWTsHvXWMd9PtVa06YS8BijLqLay1T-99taEhCoc8c1vaZAM-7IaZGo_H8uGhSeKF83zKVkEsYufnpnMIOF2LEupw,"[""https://lh3.googleusercontent.com/-5q9pydl1vaw/UooiIsXOzZI/AAAAAAAAR50/Gha_KpOV2cQ/w1000-s0/photo.jpg""]",內湖區堤頂大道一段327號,"(25.062157, 121.57305999999994)",GOOGLE,ChIJodwOboarQjQRzp3CZ2yE4t4,"[""restaurant"",""food"",""establishment""]","['http://iphoto.ipeen.com.tw/photo/ipeen/200x200/def/7/7/2/308277/308277_1345151951_9614.jpg', 'http://iphoto.ipeen.com.tw/photo/focus/934/145x110/fo_201304181412342bdcf9672c68af93052014a143c7f7f6783.jpg', 'http://iphoto.ipeen.com.tw/photo/comment/def/200x200/8/8/7/582788/582788_20131216030202_7303.jpg', 'http://iphoto.ipeen.com.tw/photo/comment/def/200x200/6/7/1/618176/618176_20140222202712_7410.jpg', 'http://iphoto.ipeen.com.tw/photo/comment/def/200x200/8/9/0/651098/651098_20140428190655_2201.jpg', 'http://iphoto.ipeen.com.tw/photo/ipeen/200x200/vip/7/2/7/store_28727/sp28727_20121030215033627.jpg', 'http://iphoto.ipeen.com.tw/photo/ipeen/200x200/def/0/6/8/640860/640860_20140409080015_6650.jpg', 'http://iphoto.ipeen.com.tw/photo/map_cache/new/0/2/0/59020/300x300.png', 'http://iphoto.ipeen.com.tw/photo/comment/def/200x200/4/5/3/683354/683354_20140622165545_6990.jpg']"
